"","ID","trial","environment","mem","C_QuestionNum","SizeZ","CurZ"
"172",103,91,1,1,672,-1.03280580068395,1.01521826054495
"173",103,93,1,0,440,-1.66422478127123,-1.233364311675
"174",103,94,1,0,413,-0.317403651500777,-1.50747505793667
"175",103,95,1,1,585,-0.716933744776392,-0.0268380812901956
"176",103,96,1,1,526,-0.414938666636386,0.386118479133508
"177",103,97,1,0,635,-0.548760795192732,0.494238014953533
"178",103,98,1,1,409,-1.09066973514423,0.956749362628087
"179",103,99,1,1,973,-1.8854365294123,-0.776096686270395
"180",103,100,1,NA,49,-0.342632308794938,-1.08411164296697
"181",103,102,1,NA,322,-1.69079130101774,0.284220107080911
"182",103,103,1,0,600,-1.46805756176668,-0.0145684185193021
"183",103,104,1,1,500,-1.73433532531313,-1.03875229753508
"184",103,105,1,0,349,-0.764134317373185,1.31714781536151
"185",103,107,1,1,670,-0.0229764793229184,-1.0628005036037
"186",103,108,1,1,604,-1.08219276298673,-0.163060115507886
"187",103,109,1,NA,429,-1.58038333291197,1.40285232546275
"188",104,1,1,1,380,0.415856102003828,-0.980392320814043
"189",104,2,1,1,852,0.432922819597998,-1.01012519316455
"190",104,3,1,0,492,0.784705180343305,1.67887126240645
"191",104,4,1,0,298,0.9905093531173,-1.0306804770094
"192",104,5,1,NA,620,2.40107150989615,0.647407357365245
"193",104,6,1,0,844,2.4420914370426,-0.488062291633572
"194",104,8,1,0,332,0.358764404898795,0.206572148514508
"195",104,9,1,0,631,-0.0713847162641637,-0.789954502040134
"196",104,10,1,NA,164,0.775967924775463,0.0107034242028586
"197",104,11,1,0,400,0.57493158810206,0.492736354733813
"198",104,12,1,1,898,0.237159892340396,-0.460586860140847
"199",104,13,1,0,496,0.744228307214232,0.194368020307396
"200",104,14,1,1,910,1.09518197850126,-1.16177706840685
"201",104,15,1,1,816,2.23339011692268,-1.10565275865432
"202",104,16,1,1,981,1.03003031965197,2.01175297280993
"203",104,17,1,NA,187,0.913437503116902,0.634643245497597
"204",104,18,1,NA,158,0.13354117309776,-0.457577460105361
"205",104,19,1,1,423,0.439510286953907,-0.267263467533013
"206",104,20,1,1,3,0.984290563487952,0.201199749219093
"207",104,21,1,NA,306,0.927415787506269,-0.411507553854021
"208",104,22,1,NA,160,0.677870722886481,-0.719982463198734
"209",104,23,1,1,826,1.4577336879795,1.4365821863255
"210",104,24,1,1,349,1.67424981524047,1.31714781536151
"211",104,25,1,NA,227,1.18994397082113,-1.04631886704577
"212",104,26,1,NA,914,0.850517371149694,-0.832371527727101
"213",104,27,1,NA,810,0.918159413999389,-0.772953676508183
"214",104,28,1,1,778,0.164474598737193,0.80282919010652
"215",104,29,1,1,765,0.403789782698996,-0.551869770307838
"216",104,30,1,NA,728,0.719732043644581,-0.610509698271842
"217",104,31,1,1,436,0.0467258512772083,0.609222283206584
"218",104,32,1,NA,822,0.729912269280643,-1.51217590732014
"219",104,34,0,NA,761,-0.146805410605151,-0.719522510550612
"220",104,35,0,NA,581,0.944562840068194,-0.635010470277842
"221",104,37,0,0,742,-1.10418413815703,1.45941036249313
"222",104,38,0,1,67,-0.318476912136946,-0.746479863511106
"223",104,39,0,NA,873,0.00907552972270619,1.68398195475088
"224",104,40,0,1,411,0.466592097194864,0.708975426373865
"225",104,41,0,0,560,-0.545557087657698,-0.908312630267363
"226",104,42,0,1,504,-0.334816151967556,0.0197133855211984
"227",104,43,0,1,545,-0.164296256800076,-0.0742768927768857
"228",104,44,0,1,396,-0.290681013293721,0.949081310442267
"229",104,45,0,1,893,-0.688517625831455,-1.31983737513272
"230",104,46,0,1,225,0.919676852279206,-0.75277224540346
"231",104,47,0,NA,942,1.16774230659907,-0.99296435986289
"232",104,48,0,1,969,-0.114336832964005,0.468132229595279
"233",104,49,0,0,431,-0.26375540993451,-1.38584058013914
"234",104,50,0,0,585,-0.0317041922067863,-0.0268380812901956
"235",104,51,0,NA,460,1.29392176261956,0.159714322929176
"236",104,52,0,1,219,-0.788623921761693,0.183547580105628
"237",104,53,0,0,847,-0.401998500279543,0.119661095959474
"238",104,55,0,1,971,-1.05604117720298,-0.0706059828162581
"239",104,56,0,1,858,-1.00022176377455,0.0107034242028586
"240",104,57,0,1,389,0.27597953398111,-1.1218277601135
"241",104,58,0,NA,223,-0.74110578833462,-1.17622107191664
"242",104,59,0,NA,527,-0.471064257280008,-0.735836227887794
"243",104,60,0,1,264,-0.743399797969401,-0.531503176561252
"244",104,61,0,NA,185,-0.687830315551774,-1.49596232958546
"245",104,62,0,1,80,-1.3645542317047,-0.947355795980152
"246",104,63,0,0,497,0.234084848296886,0.499320557235666
"247",104,64,0,1,212,-0.108833887672788,-0.479350569452951
"248",104,65,0,1,484,-0.405689445742508,1.32971985441034
"249",104,66,0,1,117,0.0129888907328674,1.30486150447287
"250",104,67,0,NA,554,-0.596971467020888,-1.29669947347901
"251",104,68,0,NA,526,0.0350862070602641,0.386118479133508
"252",104,69,0,1,829,-0.318328745907172,0.758767317869933
"253",104,70,0,NA,397,-0.317160311276517,-0.930042536976291
"254",104,71,0,NA,931,-0.368021271972949,0.557307744181886
"255",104,72,1,NA,894,-0.314283799263539,1.12720809027228
"256",104,73,1,NA,52,-0.324992970632628,-0.871613519531697
"257",104,74,1,NA,342,0.572589624093801,-1.46693023200416
"258",104,75,1,1,486,0.126440454558973,1.01981909185644
"259",104,76,1,1,429,0.617544113253169,1.40285232546275
